ID,Müşteri Talebi,Banka Yanıtı
214,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
215,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
216,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
217,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
218,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
219,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
220,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
221,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
222,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
223,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
224,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
225,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
226,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
227,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
228,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
229,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
230,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
231,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
232,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
233,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
234,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
235,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
236,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
237,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
238,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
239,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
240,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
241,Kredi kartı limitimi nasıl artırırım?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
242,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
243,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
244,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
245,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
246,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
247,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
248,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
249,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
250,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
251,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
252,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
253,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
254,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
255,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
256,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
257,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
258,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
259,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
260,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
261,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
262,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
263,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
264,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
265,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
266,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
267,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
268,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
269,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
270,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
271,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
272,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
273,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
274,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
275,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
276,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
277,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
278,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
279,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
280,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
281,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
282,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
283,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
284,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
285,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
286,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
287,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
288,Hesap bakiyemi yanlış görüyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
289,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
290,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
291,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
292,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
293,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
294,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
295,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
296,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
297,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
298,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
299,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
300,"Kredi kartım kayboldu, ne yapmalıyım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
301,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
302,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
303,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
304,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
305,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
306,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
307,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
308,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
309,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
310,Hesap bakiyemi yanlış görüyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
311,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
312,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
313,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
314,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
315,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
316,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
317,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
318,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
319,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
320,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
321,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
322,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
323,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
324,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
325,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
326,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
327,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
328,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
329,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
330,Kredi kartı limitimi nasıl artırırım?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
331,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
332,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
333,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
334,Kredi kartı limitimi nasıl artırırım?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
335,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
336,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
337,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
338,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
339,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
340,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
341,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
342,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
343,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
344,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
345,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
346,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
347,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
348,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
349,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
350,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
351,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
352,Hesap bakiyemi yanlış görüyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
353,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
354,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
355,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
356,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
357,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
358,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
359,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
360,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
361,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
362,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
363,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
364,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
365,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
366,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
367,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
368,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
369,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
370,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
371,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
372,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
373,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
374,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
375,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
376,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
377,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
378,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
379,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
380,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
381,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
382,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
383,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
384,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
385,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
386,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
387,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
388,"ATM'de para sıkıştı, nasıl geri alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
389,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
390,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
391,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
392,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
393,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
394,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
395,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
396,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
397,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
398,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
399,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
400,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
401,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
402,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
403,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
404,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
405,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
406,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
407,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
408,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
409,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
410,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
411,Hesap bakiyemi yanlış görüyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
412,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
413,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
414,Kredi kartı limitimi nasıl artırırım?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
415,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
416,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
417,"Kredi kartım kayboldu, ne yapmalıyım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
418,Kredi kartı limitimi nasıl artırırım?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
419,Kredi kartı limitimi nasıl artırırım?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
420,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
421,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
422,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
423,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
424,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
425,Kredi başvurum neden reddedildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
426,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
427,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
428,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
